	Argument ID	Conclusion	Stance	Premise
2879	A24358	We should abolish capital punishment	against	capital punishment provides a firm sense of closure for victim's families and the lack thereof may harm them.
2880	A24359	We should abolish zoos	against	we cannot close zoos that can help preserve endangered species from extinction
2881	A24360	We should subsidize student loans	against	people choose to go to college.  those that do should pay the bills for that schooling.  we should not be taxed to give money to those that choose to borrow it.
2882	A24362	We should ban the Church of Scientology	in favor of	"we should ban the church of scientology because any church that has ""cult like"" teachings should never be allowed to exist."
2883	A24364	We should end the use of economic sanctions	against	economic sanctions are an effective way to limit the ability of corrupt governments
2884	A24366	We should ban algorithmic trading	in favor of	algorithmic trading is unfair because traders with faster computers and better connections to the market will have an advantage over others.
2885	A24368	We should cancel pride parades	against	pride marches are an important and vital political activity for lgbt people and provide a necessary visibility.
2886	A24369	We should subsidize embryonic stem cell research	in favor of	diseases can be cured using cells created for embryonic stem cell research.
2887	A24370	We should ban algorithmic trading	in favor of	we should ban algorithmic trading because algorithms don't always work and will cause people to lose a lot of money
2888	A24372	We should fight for the abolition of nuclear weapons	in favor of	nuclear weapons are an  exhorbitantly costly defence strategy that will never be used, just a deterrant at a huge price.
2889	A24373	We should ban the Church of Scientology	against	we should not ban the church of scientology because i think everyone should have a choice in what they choose to believe in and celebrate.
2890	A24374	We should ban factory farming	against	The population is growing ever larger and we need efficient ways to produce enough meat for it.
2891	A24375	We should ban the use of child actors	in favor of	child actors become adults far too quickly and should not be allowed to act until they are adults
2892	A24376	We should limit judicial activism	against	judicial review is a crucial fallback to monitor political activity
2893	A24377	We should limit judicial activism	against	judges are going to use their beliefs to interpret laws and we shouldn't limit that once they are elected, we should understand their views before electing them.
2894	A24378	We should end mandatory retirement	against	mandatory retirement allows for new people to saturate the workforce and the older generation to relax.  this is a good thing.
2895	A24379	We should abolish the Olympic Games	in favor of	the olympic games should be abolished because they are a financial drain on host cities
2896	A24380	We should subsidize space exploration	against	we should not subsidize space exploration since that is a waste of money.
2897	A24381	We should ban telemarketing	against	telemarketing helps introduce customers to new things and services they may not have heard of had they not been prompted into the subject.
2898	A24382	We should ban factory farming	in favor of	many factory farm workers have contracted diseases due to the conditions in which they work.
2899	A24384	We should abolish safe spaces	against	Safe spaces give people the ability to process issues at their own pace without the added stress of judgement from others.
2900	A24385	We should ban the Church of Scientology	in favor of	evidence shows the Church of Scientology is a money laundering, corrupt organisation that hides behind its religious status whilst abusing its members.
2901	A24386	We should ban cosmetic surgery for minors	in favor of	we should ban cosmetic surgery for minors because it is not necessary and as an individual matures they may not be a need for this procedure.
2902	A24388	We should subsidize student loans	against	it isn't the obligation of anyone to assist students with the costs of their education.  if a student wants to get an education they have to realize it comes at a cost and won't be given for free.
2903	A24389	We should ban missionary work	in favor of	Missionary work is a waste of time and resources that could be better spent elsewhere.
2904	A24390	We should ban fast food	against	many brands are now offering healthier options such as salads & vegetarian foods, just because its called fast food doesn't mean its unhealthy
2905	A24391	We should subsidize journalism	against	if journalism is good, then it will not need a subsidy. if it is bad, then we should not be throwing money at it when there are greater needs in society such as education, health care and housing.
2906	A24392	We should fight for the abolition of nuclear weapons	against	nuclear weapons keep us safe without ever having to actually use them.  ridding us of them would leave ourselves open to attack in other ways.  best to keep them
2907	A24396	We should subsidize Wikipedia	against	i am contesting the subsidizing of the wikipedia because it mean they can be controlled and you are not getting the full result when you try to search about certain subjects or people
2908	A24397	We should ban private military companies	against	sometimes you have to rely on the private sector when the public isn't there to help
2909	A24398	We should legalize prostitution	in favor of	women should have the right to decide what to do with their body and that should include being able to sell it.
2910	A24399	We should ban whaling	in favor of	killing whales is cruel and inhumane and if we don't ban it now we risk losing the entire whale species.
2911	A24401	We should prohibit school prayer	against	Prayer can be a good way to unite a school and help children to focus on the day ahead.
2912	A24402	We should ban private military companies	against	private military companies are accessible to all, providing security and security measures that are currently not accessible to all.
2913	A24403	We should end mandatory retirement	against	mandatory retirement makes sure that fresh ideas and fresh bodies keep flowing through business which is a good thing.
2914	A24404	We should adopt an austerity regime	against	Adopting an austerity regime lowers people's confidence in the economy and discourages investment.
2915	A24405	We should ban cosmetic surgery	against	surgeries are important for people who were in accidents or have birth defects and surgery can help transition them to a normal life.
2916	A24408	We should adopt an austerity regime	against	to build for the future we need to cut austerity and invest money and resources now.
2917	A24411	We should abolish the three-strikes laws	against	We should not abolish the three-strikes laws because they are popular with voters and it would be undemocratic to remove them.
2918	A24412	We should legalize prostitution	in favor of	Prostitution is a legitimate choice, people should be free to do what they want with their bodies, criminalising it is a gross violation of the freedom of occupation.
2919	A24414	We should subsidize journalism	against	subsidizing journalism would give the government control over it
2920	A24415	We should introduce compulsory voting	in favor of	compulsory voting will ensure the proper result in an election.
2921	A24416	We should abandon the use of school uniform	in favor of	school uniform limits the ability of young people to develop their identity and express who they are
2922	A24417	We should subsidize student loans	in favor of	All young people whether rich or poor should have the opportunity to better their lives by going to into higher education, the more student loans are subsidized the closer this will become a reality.
2923	A24420	We should ban algorithmic trading	in favor of	algorithimic trading, which to all intents and purposes is nothing more than ai-enabled gambling, makes a volatile, destructive and unethical trade even more so.
2924	A24423	We should adopt an austerity regime	in favor of	an auserity program will reduce the national debt.
2925	A24425	We should adopt libertarianism	in favor of	if we just hold up our beliefs, we will find that libertarianism helps us defend our rights as citizens of this country.
2926	A24427	We should adopt a zero-tolerance policy in schools	in favor of	zero tolerance in schools to avoid further shootings and also to avoid cases of bullying
2927	A24428	We should limit judicial activism	in favor of	we should not support judicial activism because laws are laws and should be strictly followed as written and if they are wrong, then the people need to vote to rewrite them.
2928	A24430	We should ban the Church of Scientology	against	people have the right to freedom of religion, even scientology and this right should not be infringed upon.
2929	A24431	We should limit executive compensation	against	by the time people are at executive level they have worked long and hard and deserved to be recompensed for their work and ideas at a fair level.
2930	A24433	We should limit judicial activism	in favor of	judges should stick to the law and be unbiased in every ruling.
2931	A24434	We should ban private military companies	against	pmcs can provide security to those countries and organisations that need protection and are capable of paying for it, so should not be banned
2932	A24435	We should ban cosmetic surgery	against	we should continue to support cosmetic surgery as it helps people correct imperfections that cause poor self-esteem.
2933	A24437	We should end mandatory retirement	against	people working longer than they should prevents employers from hiring new people who might be more useful
2934	A24438	We should abolish intellectual property rights	against	intellectual property rights should not be abolished as they ensure that those who have had an original idea, financed research and development get rewarded for their effort and not have their innovation stolen
2935	A24441	We should prohibit school prayer	against	we should not ban school prayer because for those in a religious community, their religion and therefore prayer is central to their lives and should be included in every aspect of it.
2936	A24442	We should cancel pride parades	against	people have right to express themselves and raise awareness of different sexual orientations.
2937	A24443	We should ban the use of child actors	against	with proper guidance and protection, children can be a valuable asset to the artistic process.
2938	A24444	We should introduce compulsory voting	in favor of	by introducing compulsory voting you will assure that each and every citizen's voice is heard.
2939	A24445	We should legalize cannabis	against	cannabis is seen as a gateway to other more harmful drugs and shown to have harmful effects to mental health and should, therefore, be banned.
2940	A24446	We should abolish the Olympic Games	against	the olympic games are a way for nations to compete in a friendly way and to encourage people of all ages to take up sport.
2941	A24447	We should stop the development of autonomous cars	in favor of	we should stop this development until we can be totally certain that the cars are safe.
2942	A24449	We should adopt atheism	in favor of	people are so afraid of an imaginary punishment that they do not live their lives to the fullest - with atheism, it will be more convincing to live in the present.
2943	A24450	We should adopt atheism	in favor of	Atheism allows one to really examine why we believe what we do and are you truly a good person or do you just want to go to heaven
2944	A24451	We should abolish safe spaces	against	Safe spaces allow individuals to embrace their identity without fear of ridicule.
2945	A24454	We should adopt libertarianism	in favor of	because it protects the rights of the individual to live as they see fit, it promotes acceptance of the rights of all individuals within society, creating a more inclusive society.
2946	A24455	We should subsidize Wikipedia	in favor of	wikipedia provides a wealth of information on any subject you can think of. this is highly benificial to the education system and should be subsidized.
2947	A24456	We should ban telemarketing	against	telemarketing is a good medium for businesses to use to expand their client base and make more people aware of their company and products, thus increasing their income
2948	A24457	We should ban algorithmic trading	against	Algorithms can be tested against historical data, helping you optimize your trading strategy.
2949	A24459	We should ban targeted killing	against	we shouldn't ban targeted killing because it can help find terrorists and stop attacks from happening.
2950	A24461	We should subsidize embryonic stem cell research	against	using cells from a life embryo is immoral and unacceptable and it has to be stopped.
2951	A24462	We should ban human cloning	in favor of	human cloning in the wrong hands could be very dangerous to society
2952	A24463	We should subsidize space exploration	against	space exploration is such a costly exercise that subsidising would put an enormous strain on any country's finances that can be ill afforded when there are so many more causes that need supporting on earth.
2953	A24464	We should ban factory farming	against	we should not ban this because it is a way to get cheap, affordable food for people that may not of otherwise been able to afford it and feed their family.
2954	A24465	We should abolish zoos	against	zoos are a way of protecting endangered species from extinction and allowing scientific research to combat diseases and reintroduce the animals back into the wild.
2955	A24468	We should abolish the right to keep and bear arms	against	people have a right to protect themselves with weapons, especially nowadays
2956	A24469	We should ban fast food	against	people should be able to assess the risks of eating fast food themselves
2957	A24472	We should legalize prostitution	against	This is a field that is uniquely difficult to regulate and thus prostitutes are left vulnerable and unprotected with their clients.
2958	A24473	We should adopt atheism	against	Atheism tends to be literal and negative when people need faith
2959	A24475	We should legalize cannabis	in favor of	people buy cannabis regardless of whether it is legal or not, so we might as well tax it to make extra money
2960	A24476	We should legalize sex selection	in favor of	if the technology exists them it should be up to individuals to decide what sex child they have as this will effect them more than anyone else.
2961	A24478	We should end the use of economic sanctions	in favor of	we should end it because it puts restrictions on countries and this way we can freely trade.
2962	A24482	We should subsidize journalism	against	subsidizing journalism is unfair. you're basically paying someone to spread your own beliefs.
2963	A24483	We should ban factory farming	against	factory agriculture lowers the costs of the products and ensures its production throughout the year
2964	A24484	We should oppose collectivism	in favor of	We should oppose collectivism because while it can be used to help everyone, it gives too much power to the collective to hurt individuals.
2965	A24486	We should subsidize space exploration	against	space exploration is too costly and there aren't enough tangible benefits to justify subsidization
2966	A24487	We should prohibit school prayer	against	we should not prohibit school prayer as long as the type of prayer is not religion specific.
2967	A24489	We should prohibit school prayer	in favor of	religion should not be forced on school children. they should be free to believe their own ideals
2968	A24490	We should ban algorithmic trading	against	algorihmitic trading is much less expensive for the individual trader.
2969	A24491	We should ban human cloning	against	we should allow science to further their research even if it includes human cloning.
2970	A24492	We should abolish the Olympic Games	against	this is the only wide scale event where all countries can put aside all differences in good faith and fair competition
2971	A24493	We should ban private military companies	in favor of	the defense of a country can only be trusted with the government, and should not be motivated by money and greed.
2972	A24495	We should ban targeted killing	in favor of	we should ban targeted killing as it is an unfair advantage to those that do not have the same equipment.
2973	A24496	We should stop the development of autonomous cars	in favor of	autonomous cars are not able to react to specific scenarios where decisions must be made.
2974	A24498	We should ban cosmetic surgery	against	We should not ban cosmetic surgery as people should be allowed to do what they want with their bodies.
2975	A24499	We should legalize organ trade	against	organ trade opens up a new crime opportunity with people killing to obtain organs needed
2976	A24500	We should oppose collectivism	against	collectivism gives one voice a louder voice by having others available for support
2977	A25001	We should ban algorithmic trading	in favor of	algorithms can be hacked and therefore the data isn't safe, and should therefore be banned.
2978	A25003	We should ban human cloning	against	Human cloning could provide a great benefit to mankind by eradicating illnesses and disease through replication of people known to be fit, well and healthy.
2979	A25005	We should subsidize Wikipedia	against	wikipedia has always been free to use and should continue to be free without subsidies.
2980	A25006	We should adopt libertarianism	against	libertarianism would lessen government control and lead to anarchy.
2981	A25008	We should introduce compulsory voting	against	american citizens have the right to choose whether or not they want to vote.
2982	A25010	We should end the use of economic sanctions	against	the only way to send a strong message to countries who are danger for our western world is economic sanctions which are most effective and successful.
2983	A25011	We should ban factory farming	in favor of	factory farming should be banned because it increases the risk of animal cruelty
2984	A25012	We should abolish zoos	in favor of	it is unfair to trap animals from their natural habitat and confine them to small spaces for entertainment.
2985	A25013	We should ban targeted killing	against	in certain circumstances it's impossible to detain highly dangerous individuals who pose a threat, the only option is targeted killing.
2986	A25014	We should adopt a multi-party system	in favor of	the current  system is broken and doesn't work. neither side can work together so having more options would force politicians to come together and do what's best for the people because no side would be majority
2987	A25016	We should stop the development of autonomous cars	against	autonomous cars will function as a new form of public transit and alleviate congestion
2988	A25017	We should ban telemarketing	in favor of	we should ban it because of the often very high pressure sales tactics used to coerce a sale even if someone does not want to purchase anything
2989	A25018	We should abolish intellectual property rights	against	intellectual property rights protect the small guy from being gobbled up by large companies who have more money to create a product.
2990	A25019	We should legalize sex selection	in favor of	legalizing medical sex selection can prevent the abortion of unwanted gendered babies
2991	A25020	We should ban fast food	in favor of	fast food has become extremely unhealthy and contributing to nation's obesity crisis.
2992	A25023	We should abandon the use of school uniform	against	school uniforms help eliminate class differences, which can aid in the reduction of bullying
2993	A25024	We should legalize sex selection	against	the existence of the human being on the earth and its adaptation, and ecological domination are only the result of their natural destiny, for which the selection of sex should not be legalized
2994	A25026	We should stop the development of autonomous cars	in favor of	autonomous cars will take away many jobs and lead to a skills drain
2995	A25027	We should subsidize space exploration	against	space exploration costs too much money that could be spent on better thing such as helping the poor in society.
2996	A25030	We should adopt libertarianism	against	libertarianism promotes self interest and not that of society as a whole
2997	A25032	We should cancel pride parades	in favor of	pride parades can be a dangerous place
2998	A25034	We should abolish zoos	against	Zoos provide a platform for people to understand the natural and animal world.
2999	A25036	We should abolish the right to keep and bear arms	in favor of	firearms in the hands of civilians create societies more prone to violence
3000	A25037	We should oppose collectivism	in favor of	as individuals we have a right to not be grouped into one thought process.
3001	A25039	We should abolish the Olympic Games	in favor of	the funding required to train athletes and host the games is a huge waste of public resources. this could be better spent on life saving and life changing services
3002	A25040	We should ban human cloning	in favor of	by copying something you can not get a pure copy.  each copy that is made is worse then the other meaning that no one knows what can happen with cloning.
3003	A25042	We should introduce compulsory voting	against	it should be the right of the individual whether to vote or not to vote.
3004	A25043	We should fight for the abolition of nuclear weapons	against	there is no way to achieve this. there is no guarantee that whichever country really got rid of their nuclear weapons and didn't just hide them. it's unrealistic and impossible to achieve.
3005	A25045	We should ban cosmetic surgery for minors	in favor of	cosmetic surgery for minors is dangerous as they may not be emotionally advanced enough to understand the long term implications and effects.
3006	A25047	We should adopt an austerity regime	in favor of	for longer term economic benefits, short term sacrifices are necessary to dig the country out of debt, and an austerity regime is the only way to achieve this.
3007	A25048	We should abolish safe spaces	against	sometimes the only place an oppressed person can go to is a safe space.
3008	A25049	We should subsidize student loans	in favor of	subsidized student loans allow for those from pooer backgrounds to achieve a good standard of education and progress in their lives
3009	A25050	We should end the use of economic sanctions	against	by using economic sanctions, we can prevent some countries from increasing their weapons thereby protect other countries.
3010	A25053	We should oppose collectivism	against	collectivism helps encourage those who are minorities and may not be able to have luxuries others may have.
3011	A25054	We should ban telemarketing	in favor of	telemarketing is an invasion of privacy, especially when they call at late hours, during meals and/or repetitively even after asking for the call to stop.
3012	A25061	We should ban missionary work	in favor of	missionary work sometimes forces religion on people
3013	A25062	We should end mandatory retirement	in favor of	many people now cannot afford to live on their pension and pay for healthcare - thus making them retire is condemning them to ill health and poverty almost certainly resulting in premature death.
3014	A25063	We should subsidize journalism	against	journalism that is subsidized by the government will lead to censoring the media from reporting negative things about the government.
3015	A25064	We should adopt a multi-party system	against	a multi-party system could lead to more situations where a majority is not reached. this means that it could be harder to push policies through.
3016	A25065	We should abolish the Olympic Games	in favor of	We should abolish the Olympic Games because they have become very open to abuse in terms of drug use and oppressive government regimes.
3017	A25066	We should abolish capital punishment	in favor of	There is no credible evidence that the death penalty deters crime more effectively than a prison term
3018	A25067	We should abolish intellectual property rights	against	people should have a right of ownership to their creations, ideas, and concepts that they created themselves.
3019	A25071	We should legalize sex selection	against	if we gave people the right to choose the sex we will have very few females in our world.   they most likely would choose a boy.   let god be the creator of the child and we should never intervene.
3020	A25074	We should ban whaling	against	There is still a vast amount of scientific knowledge that can be acquired from whaling.
3021	A25076	We should abolish the right to keep and bear arms	against	The right to keep and bear arms is a constitutional right and should never be abolished as it allows personal protection
3022	A25077	We should abolish zoos	against	many animals would become extinct if we did not have zoos.
3023	A25079	We should legalize organ trade	in favor of	Some people need organs, others have healthy organs that their bodies can function without; it is a win win situation to allow for organs to be sold.
3024	A25080	We should ban algorithmic trading	against	this trading system keeps buying and selling clean
3025	A25081	We should ban telemarketing	in favor of	Telemarketing usually provides products from foreign countries where there is no regulation on safety or quality.
3026	A25082	We should end mandatory retirement	in favor of	a person needs to be able to choose to work as long as they are well enough to do so.
3027	A25085	We should legalize organ trade	against	this could result in that only people with more money would have access to those bodies
3028	A25086	We should prohibit school prayer	in favor of	in today society, which is multicultural and multi-faith, the school prayer is enforcing one ideology onto thos who may hold other backgrounds and religiions
3029	A25087	We should legalize prostitution	against	legalising prostitution would destigmatise an illegal act that is heavily connected to drug-abuse and extortion.
3030	A25089	We should subsidize student loans	in favor of	most people can't afford to go to college, and we don't want them to graduate with massive debts
3031	A25092	We should ban whaling	against	there are people who live from this activity and you have to get a better job
3032	A25093	We should abolish the Olympic Games	against	the olympic games give athletes from all over the world a chance to compete and showcase their talents.
3033	A25094	We should abolish safe spaces	against	some students need the extra protection and comfort.
3034	A25096	We should abolish capital punishment	in favor of	capital punishment is barbaric and should be abolished
3035	A25097	We should legalize organ trade	in favor of	Organ sales creates an incentive for people to remain healthy so they can sell their organs.
3036	A25098	We should adopt gender-neutral language	against	Gendered language has served us for centuries in literature and culture, there is no need to change now.
3037	A25099	We should abolish intellectual property rights	against	intellectual property rights should never be abolished in order to protect the successes of a businesses.
3038	A25101	We should ban whaling	in favor of	whaling shuld be banned because it is a cruel and outdated practice & no longer serves a purpose
3039	A25103	We should ban missionary work	in favor of	religion has caused so many conflicts across the world, if we ban missionaries, then maybe we can have a more peaceful world where people can respect each other without trying to convert each other.
3040	A25104	We should oppose collectivism	in favor of	we will lose individuality and become one big hive mind
3041	A25105	We should abandon the use of school uniform	against	school uniforms help everyone feel included and not judged on the clothes they wear
3042	A25107	We should ban private military companies	against	we should not ban private military companies as a person should have the right if they can afford to hire such companies to protect them.
3043	A25108	We should ban the use of child actors	against	children should be free to do what they want with their consent and their parents consent
3044	A25110	We should limit executive compensation	against	executive compensation is a way to reward and incentivize the top employees.
3045	A25111	We should ban fast food	in favor of	fast foods are generally greasy and fattening.  by banning them it would help control some of the obesity in the country.
3046	A25113	We should ban human cloning	in favor of	if we begin to play god with our scientific advances that could very well lead to our demise.
3047	A25114	We should ban fast food	in favor of	fast food is quickly leading to child obesity and an unhealthy generation.
3048	A25115	We should abolish capital punishment	in favor of	there is no credible evidence that capital punishment acts as a deterrent
3049	A25116	We should end mandatory retirement	against	Mandatory retirement helps combat unemployment among young people.
3050	A25117	We should abandon the use of school uniform	against	when all students are required to dress the same instances of bullying of wardrobe are decreased.
3051	A25119	We should legalize sex selection	against	this could cause imbalance in population, if a generation is selected as mainly male or female
3052	A25121	We should limit executive compensation	against	executive compensation promotes company success and competition. it's an incentive for ceos to guide the company and help the company do well and make money for all employees.
3053	A25122	We should stop the development of autonomous cars	against	autonomous cars will help prevent wrecks in the future.
3054	A25123	We should introduce compulsory voting	in favor of	compulsory voting would insure that every eligible voting citizen is able to aid in who they want for political offices.
3055	A25124	We should ban the use of child actors	in favor of	children should be learning and playing, not working
3056	A25126	We should ban the Church of Scientology	in favor of	Church of Scientology is a brainwashing organization that has no substance and does no good for other people
3057	A25127	We should ban the use of child actors	against	many child actors go on to being adult actors without any problems.  if anything, perhaps more screening of children before allowing them to go into the profession.
3058	A25128	We should legalize prostitution	against	We should not legalize prostitution as it will only lead to more people trafficking and underage people being lured into this kind of work as people seek to make more money .
3059	A25129	We should abandon the use of school uniform	against	school uniform is necessary to avoid poor students to feel any different
3060	A25132	We should legalize organ trade	in favor of	if we legalize the organ trade will will be able to save more lives and keep these organs out of the hands of the crime network.
3061	A25134	We should subsidize embryonic stem cell research	against	subsidizing embryonic stem cell research can lead to forced gathering of the stem cells and may even cause worse reactions.
3062	A25135	We should abolish the three-strikes laws	against	the three-strikes law shouldn't be abolished because by having the law it keeps repeat offenders in prisons and gets them off of the streets.
3063	A25136	We should ban targeted killing	in favor of	targeted killing is the same thing as murder and should be banned
3064	A25138	We should oppose collectivism	against	We should support collectivism because it encourages people to take responsibility for their community, which eases the burden on the state.
3065	A25141	We should prohibit school prayer	in favor of	we should prohibit school prayer, the us courts have consistently ruled that it is unconstitutional
3066	A25142	We should legalize cannabis	in favor of	due to so much controversy and contraband of this substance, it would save many deaths
3067	A25143	We should end mandatory retirement	against	Mandatory retirement ensures that companies and professions are constantly infusing their workforces with fresh talent.
3068	A25145	We should abolish the Olympic Games	against	the olympics is an important international competition that represents peaceful cooperation and brings together the world in friendly competitive sports when the most capable are rewarded for their efforts.
3069	A25147	We should adopt a multi-party system	in favor of	the two-party system is outdated and has proven, lately, that it does not always result in the best possible candidates.
3070	A25150	We should ban private military companies	in favor of	private militaries are a threat to security if they decide to overthrow the government
3071	A25151	We should adopt libertarianism	against	libertarianism sounds brilliant as a theory, but government and societies require rules and frameworks to function, and abolishing these would only lead to chaos.
3072	A25154	We should ban human cloning	in favor of	without knowing the long term effects of cloning, it shouldn't be attempted on humans because it could be medically problematic.
3073	A25155	We should legalize cannabis	in favor of	legalizing cannabis as far as health is concerned can be beneficial since many of these substances are used as treatments for certain diseases
3074	A25156	We should ban private military companies	against	private military companies protect assests and officials in war torn areas. they're needed. they don't take money from the tax payers to accomplish their missions and act only defensively.
3075	A25157	We should ban missionary work	in favor of	Missionary work can sometimes do more harm than good - for example, if religious missionaries discourage the use of condoms in a place where HIV is the main cause of death.
3076	A25159	We should cancel pride parades	against	people have the right to express themselves.
3077	A25160	We should introduce compulsory voting	in favor of	compulsory voting would see to it that we have the person the people, all the people, truly want in each area of our government.
3078	A25165	We should abolish the three-strikes laws	in favor of	we should  abolish the three-strikes laws because they can put people away for minor crimes
3079	A25166	We should ban the Church of Scientology	against	everyone has a right to chose a religion to follow, no matter what their beliefs & practices are, it is wrong to ban a religion
3080	A25167	We should cancel pride parades	in favor of	pride parades can be perceived as a way of pushing one's views on other's that do not share the same belifs and accepatances
3081	A25168	We should abolish capital punishment	in favor of	capital punishment is useless. imprisonment is actually way better since criminal court could incarcerate innocent people
3082	A25169	We should ban targeted killing	in favor of	while drone strikes are effective tools, there is still a significant risk of non-combatant casualties due to the distance between target and operator and lack of human eyes on the ground
3083	A25170	We should adopt an austerity regime	in favor of	an austerity regime allows us to save money when it is needed.
3084	A25171	We should ban factory farming	against	factory farming is needed in our times in order to provide ample food for everyone
3085	A25174	We should subsidize journalism	against	journalism cannot be unbiased with subsidization
3086	A25175	We should ban cosmetic surgery for minors	in favor of	surgery can be dangerous and must never be undertaken without a medical need, minors also do not need to be told there is something wrong about them that needs fixing.
3087	A25176	We should adopt gender-neutral language	against	i think this is political correctness going too far.it is overkill.what do we call man hole covers?person hole covers?
3088	A25178	We should ban missionary work	against	Through faith, missionaries are able to develop deep relationships with the communities they serve and help bring much-needed social change to third-world countries.
3089	A25179	We should introduce compulsory voting	in favor of	compulsory voting will cause more people to take an interest in politics which, in turn, will benefit everyone
3090	A25180	We should fight for the abolition of nuclear weapons	against	If any one state were to abolish nuclear weapons, it would immediately become vulnerable to another nuclear power, thus the government should not abolish nuclear weapons in order to fulfill its duty to protect its people.
3091	A25181	We should adopt libertarianism	against	we should not adopt libertarianism because the government would have too much control over people
3092	A25184	We should adopt an austerity regime	in favor of	this would perhaps help with our countries debt crisis.
3093	A25185	We should abolish the Olympic Games	in favor of	olympic games cost a lot of money for the host city to organise and the money could be spent better elsewhere
3094	A25190	We should subsidize student loans	against	if people want to go to college, they need to work hard and earn enough to go
3095	A25192	We should ban missionary work	in favor of	missionary work is an affront to people's right to choose their own religion, by tying aid to a particular religion it's no different than imperialism
3096	A25193	We should ban fast food	against	people have the right to decide for themselves what they want to eat
3097	A25196	We should adopt libertarianism	against	we need more government and less libertarianism.
3098	A25197	We should legalize sex selection	in favor of	if that's what makes people happy then they should be allowed to do it
3099	A25198	We should introduce compulsory voting	in favor of	it would lead to governments better reflecting the public
3100	A25199	We should ban cosmetic surgery for minors	in favor of	yes i think that we should ban cosmetic surgery for minors because in not fot them
3101	A25200	We should legalize organ trade	in favor of	Organ sales will allow for more research to be done on living, usable organs.
3102	A25203	We should subsidize embryonic stem cell research	in favor of	embryonic stem cell research will enable us to make major breakthroughs in regards to the prevention and treatment of diseases.
3103	A25204	We should ban cosmetic surgery for minors	in favor of	minors are not mature enough to make these decisions
3104	A25205	We should ban cosmetic surgery for minors	against	as long as they have parental permission, children should be allowed to improve their physical appearance
3105	A25207	We should adopt atheism	against	atheism should not be adopted as it would be offensive to various religious groups.
3106	A25209	We should ban the use of child actors	in favor of	we should prohibit this because it affects the development and normal behavior of children
3107	A25213	We should ban private military companies	in favor of	private military companies allow people with money to hire their own armies to force others to do what they want. military forces should only be allowed at national level.
3108	A25215	We should subsidize Wikipedia	against	we should not subsidize wikipedia because the government should spend the money for more useful things
3109	A25217	We should abolish intellectual property rights	against	if abolished it will stiffle creativity and advancement because there will be no incentive if intellectual property is not a right.
3110	A25218	We should stop the development of autonomous cars	against	autonomous cars eliminate the hazards of driving distracted and drunk driving.  removing these hazards from our roadways will make us all safer.
3111	A25219	We should ban algorithmic trading	in favor of	since algorithmic trading is all computer based, it opens a door for hackers to infiltrate and corrupt trading platforms.
3112	A25220	We should abolish capital punishment	against	some people have committed such unspeakable crimes that they don't deserve to live
3113	A25221	We should ban factory farming	against	we should not ban factory farming because it gives us another source of food.
3114	A25222	We should ban factory farming	in favor of	this is a horrible way to treat animals. they should not be caged in tiny areas, unable to move. this is cruel.
3115	A25223	We should prohibit school prayer	against	School prayer provides a quiet moment of contemplation for students in a busy world and teaches them the power of prayer and trust.
3116	A25224	We should adopt an austerity regime	against	adopting an austerity regime may negatively impact the demand side of the economy, hampering economic growth.
3117	A25227	We should legalize prostitution	against	legalizing prostitution would be the thin end of a wedge - all sorts of unsavoury activities are centered around the sex industry.
3118	A25228	We should adopt a zero-tolerance policy in schools	in favor of	this would ensure everyone got punished if they broke a rule
3119	A25230	We should ban cosmetic surgery for minors	in favor of	minors don't understand the implications of their choices
3120	A25234	We should adopt a zero-tolerance policy in schools	in favor of	zero tolerance policies remove troublemakers from schools before they become an even larger problem, which improves the learning environment for other students.
3121	A25235	We should ban targeted killing	in favor of	state sponsored killing should never be sanctioned because it leads down the path of extra-legal activities by the state whenever it can be justified
3122	A25236	We should adopt a multi-party system	in favor of	we should adopt a multi-party system because it makes it so that there is naturally more of a choice
3123	A25238	We should ban algorithmic trading	against	algorithmic trading enables trades to be made without spikes of emotion or rage on the part of the trader, therefore it can only be seen as positive.
3124	A25240	We should abolish the three-strikes laws	against	if people are habitually re-offending then they need a punishment that will stop them. a mandatory prison sentence is the minimum they should have as a punishment.
3125	A25241	We should legalize prostitution	against	we should not legalize prostitution because people should only be with one other person in a marriage relationship.
3126	A25242	We should ban whaling	against	we shouldn't ban whaling because people living in poverty filled countries rely on whaling as there only source of food.
3127	A25243	We should stop the development of autonomous cars	in favor of	autonomous cars will always have the possibility to glitch out like any other computer, however in this instance the consequences are much more severe.
3128	A25244	We should prohibit school prayer	in favor of	school prayer does not adhere to children of varying religions, forcing them to participate or feel left out due to their differing beliefs.
3129	A25245	We should legalize cannabis	in favor of	cannabis should be legalized with the same limitations as alcohol
3130	A25247	We should adopt a zero-tolerance policy in schools	in favor of	we should adopt a zero-tolerance policy in schools then all the children will more likely behave
3131	A25249	We should abolish the three-strikes laws	against	Three strike laws take habitual offenders off the street, reducing overall crime.
3132	A25250	We should limit judicial activism	against	judicial activism is the only way to maintain control
3133	A25253	We should abolish safe spaces	against	mental health is important, now a days more than ever before with how society is. safe places are important to have available for a healthy mental status.
3134	A25258	We should fight for the abolition of nuclear weapons	against	Nuclear weapons are so powerful, they discourage conflict.
3135	A25259	We should legalize organ trade	against	desperate people will resort to selling their organs not realizing they will need it when they get older
3136	A25260	We should abandon the use of school uniform	against	school uniforms makes sure bullying and kids getting picked on is kept at a minimum.
